,MODEL,PRICE,RATING,DESCRIPTION
0,"SAMSUNG Galaxy S23 5G (Green, 256 GB)","₹49,999",4.5,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
1,"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)","₹49,999",4.5,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
2,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹49,999",4.5,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
3,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹49,999",4.5,8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
4,"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)","₹38,999",4.3,8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
5,"OnePlus 12R (Cool Blue, 256 GB)","₹43,305",4.5,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
6,"OnePlus 12R (Iron Grey, 256 GB)","₹43,350",4.5,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
7,"OnePlus 11 5G (Eternal Green, 256 GB)","₹49,899",4.5,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories
8,"Xiaomi 14 CIVI (Cruise Blue, 512 GB)","₹47,999",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
9,"OPPO Find N3 Flip (Cream Gold, 256 GB)","₹49,999",4.4,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD Display50MP + 48MP + 32MP | 32MP Front Camera4300 mAh BatteryMediatek Dimensity 9200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
10,"OPPO Find N3 Flip (Sleek Black, 256 GB)","₹49,999",4.4,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD Display50MP + 48MP + 32MP | 32MP Front Camera4300 mAh BatteryMediatek Dimensity 9200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
11,"OnePlus 11 5G (Titan Black, 128 GB)","₹45,999",4.4,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories
12,"OnePlus 11R 5G (Sonic Black, 256 GB)","₹44,999",4.5,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessries
13,"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹43,999",4.5,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessories
14,"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹48,999",4.3,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
15,"vivo V30 Pro 5G (Classic Black, 512 GB)","₹46,999",4.5,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
16,"vivo V30 Pro 5G (Andaman Blue, 512 GB)","₹46,999",4.5,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
17,"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹48,999",4.3,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
18,"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹45,999",4.5,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
19,"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹47,999",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
